Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Cedro,CE,77.87,14191,18224,Média,Média,1.0,True,0.0901009657594381,0.09520412642669007,0.15660667251975416,0.17416593503072872,0.15721027216856892,0.13849868305531168,0.18821334503950835,0.33631474978050924,0.07901668129938542,0.5839552238805971,0.0007133450395083406,0.0,0.4881474978050922,0.5118525021949079
Buriti Alegre,GO,92.92,7980,8588,Média,Média,1.0,True,0.07755006986492781,0.084070796460177,0.16767582673497905,0.17978574755472754,0.18304611085235212,0.1432231020027946,0.16464834653004193,0.46367023754075454,0.06788542151839777,0.467862133209129,0.00011644154634373545,0.0004657661853749418,0.498253376804844,0.5017466231951561
Barra Mansa,RJ,96.95,136301,140593,Baixa,Baixa,1.0,True,0.07491838142724033,0.0849686684258818,0.16497976428413932,0.18282560298165626,0.16702111769433756,0.16079747924861124,0.16448898593813346,0.4553071632300328,0.16963860220636873,0.3733542921767087,0.0012020513112317114,0.0004978910756581053,0.4666875306736466,0.5333124693263533
Caseara,TO,89.38,3292,3683,Média,Média,1.0,True,0.11512354059190877,0.10073309801792017,0.17838718436057563,0.19766494705403204,0.1577518327450448,0.1276133586749932,0.12272603855552539,0.24626663046429542,0.08770024436600597,0.6619603584034754,0.00027151778441487917,0.0038012489818083084,0.518870486016834,0.4811295139831659
Tibau do Sul,RN,88.14,11634,13199,Média,Média,1.0,True,0.09538601409197667,0.10394726873247974,0.2276687627850595,0.22888097583150238,0.15842109250700812,0.09712857034623835,0.08856731570573528,0.32623683612394877,0.11432684294264717,0.5536783089628002,0.0015152663080536405,0.0042427456625501936,0.4893552541859232,0.5106447458140768
Cruzeiro do Sul,PR,91.96,3376,3671,Média,Média,1.0,True,0.07818033233451376,0.06156360664669028,0.16998093162625988,0.17515663307000817,0.17624625442658676,0.1688913102696813,0.16998093162625988,0.4573685644238627,0.0640152546989921,0.4491964042495233,0.029147371288477254,0.00027240533914464724,0.4884227730863525,0.5115772269136475
São Geraldo,MG,92.11,7784,8451,Média,Média,1.0,True,0.08176547154182937,0.0837770678026269,0.18364690569163414,0.1817536386226482,0.16293929712460065,0.14305999290024848,0.16305762631641227,0.4549757425156786,0.12247071352502663,0.4207786060821205,0.0008283043426813394,0.0009466335344929594,0.4963909596497456,0.5036090403502544
Boa Vista do Buricá,RS,98.18,5726,5832,Baixa,Média,1.0,False,0.05898491083676269,0.06481481481481481,0.17043895747599452,0.15963648834019203,0.15929355281207133,0.17849794238683128,0.20833333333333334,0.8952331961591221,0.013031550068587106,0.09104938271604938,0.0006858710562414266,0.0,0.48919753086419754,0.5108024691358025
Anápolis,GO,96.21,306604,318695,Baixa,Baixa,1.0,True,0.08920441174163385,0.10284127457286747,0.20301228447261488,0.19618443966802115,0.16250019611227035,0.12757338521156592,0.11868400822102637,0.40481024176720687,0.07806209698928443,0.5128728094259402,0.003015422268940523,0.0012394295486279985,0.4783288096769639,0.5216711903230361
Campo Florido,MG,92.53,6066,6556,Média,Média,1.0,True,0.10051860890787065,0.09960341671751068,0.2063758389261745,0.2059182428309945,0.14993898718730933,0.12446613788895668,0.11317876754118365,0.4098535692495424,0.13392312385600977,0.45363026235509457,0.0006101281269066504,0.0019829164124466137,0.5138804148871263,0.48611958511287373
