nome_municipio,uf,pop_alfabetizada,populacao_total,15 a 19 anos,20 a 24 anos,25 a 34 anos,35 a 44 anos,45 a 54 anos,55 a 64 anos,65 anos ou mais,prop_grupo_idade_15_a_19_anos,prop_grupo_idade_20_a_24_anos,prop_grupo_idade_25_a_34_anos,prop_grupo_idade_35_a_44_anos,prop_grupo_idade_45_a_54_anos,prop_grupo_idade_55_a_64_anos,prop_grupo_idade_65_anos_ou_mais,Amarela,Branca,Indígena,Parda,Preta,prop_cor_raca_Amarela,prop_cor_raca_Branca,prop_cor_raca_Indígena,prop_cor_raca_Parda,prop_cor_raca_Preta,Homens,Mulheres,prop_sexo_Homens,prop_sexo_Mulheres,taxa_alfabetizacao,indice_complexo,vulnerabilidade_educacional
Abadia de Goiás,GO,13498,14318,1434,1449,3166,3168,2322,1517,1262,0.10015365274479676,0.10120128509568375,0.22112026819388184,0.22125995250733344,0.16217348791730687,0.10595055175303814,0.08814080178795922,90,3677,61,8786,1704,0.006285794105321972,0.2568096102807655,0.004260371560273781,0.6136331889928761,0.11901103506076267,7224,7094,0.504539740187177,0.49546025981282305,94.27294314848442,79.31596591702751,Média
Abadia dos Dourados,MG,4979,5324,391,362,778,896,998,846,1053,0.07344102178812922,0.06799398948159278,0.14613072877535688,0.16829451540195342,0.18745304282494366,0.1589030803906837,0.19778362133734034,0,3069,0,2030,225,0.0,0.5764462809917356,0.0,0.38129226145755074,0.04226145755071375,2700,2624,0.507137490608565,0.492862509391435,93.5199098422239,77.86626596543952,Média
Abadiânia,GO,12648,13635,1184,1292,2326,2514,2433,1982,1904,0.08683535020168684,0.09475614228089475,0.1705903923725706,0.18437843784378438,0.17843784378437844,0.14536120278694536,0.13964063072973965,19,5024,9,7765,818,0.0013934726806013934,0.3684635130179685,0.0006600660066006601,0.5694902823615695,0.05999266593325999,6993,6642,0.5128712871287129,0.4871287128712871,92.76127612761276,77.86329299596626,Média
Abaetetuba,PA,107863,119970,13920,14655,27669,24334,17248,11154,10990,0.11602900725181295,0.12215553888472118,0.23063265816454115,0.20283404184379428,0.1437692756522464,0.09297324331082771,0.09160623489205635,84,21378,72,85146,13290,0.0007001750437609402,0.17819454863715928,0.0006001500375093774,0.7097274318579645,0.1107776944236059,59673,60297,0.49739934983745937,0.5026006501625406,89.90831041093607,76.25044594481955,Média
Abaeté,MG,17989,19197,1398,1493,3103,3249,3153,3241,3560,0.07282387873105173,0.07777256863051518,0.1616398395582643,0.16924519456165027,0.16424441318956087,0.1688284627806428,0.18544564254831483,10,8662,11,8869,1645,0.0005209147262593114,0.4512163358858155,0.0005730061988852425,0.46199927071938324,0.08569047246965672,9461,9736,0.4928374225139345,0.5071625774860655,93.70735010678753,78.45142470177632,Média
Abaiara,CE,6001,7810,713,794,1566,1496,1188,918,1135,0.09129321382842509,0.10166453265044814,0.20051216389244558,0.19154929577464788,0.15211267605633802,0.1175416133162612,0.14532650448143405,10,1828,5,5289,678,0.0012804097311139564,0.23405889884763123,0.0006402048655569782,0.6772087067861716,0.08681177976952625,3805,4005,0.4871959026888604,0.5128040973111395,76.83738796414853,65.71293213828426,Média
Abaré,BA,10633,13281,1734,1401,2592,2641,1875,1425,1613,0.13056245764626156,0.10548904449966116,0.19516602665461938,0.1988555078683834,0.141179128077705,0.1072961373390558,0.12145169791431368,14,1476,1788,7911,2092,0.001054137489646864,0.11113620962276936,0.1346284165348995,0.5956629771854529,0.1575182591672314,6511,6770,0.4902492282207665,0.5097507717792334,80.06174233867932,69.12996009336646,Média
Abatiá,PR,5211,5857,451,396,961,954,998,1017,1080,0.07700187809458767,0.06761140515622333,0.1640771726139662,0.16288202151271983,0.1703943998634113,0.17363838142393717,0.18439474133515452,37,3589,71,1913,247,0.006317227249445109,0.6127710431961755,0.012122246884070343,0.32661772238347275,0.042171760286836266,2891,2966,0.49359740481475156,0.5064025951852484,88.97046269421205,74.03124466450402,Média
Abaíra,BA,5045,6216,447,377,863,1079,965,1000,1485,0.0719111969111969,0.06064993564993565,0.13883526383526384,0.17358429858429858,0.15524453024453025,0.16087516087516088,0.2388996138996139,5,2569,6,3119,517,0.0008043758043758043,0.4132882882882883,0.0009652509652509653,0.5017696267696268,0.08317245817245818,3024,3192,0.4864864864864865,0.5135135135135135,81.16151866151866,68.82882882882882,Média
Abdon Batista,SC,1997,2137,175,143,286,325,410,385,413,0.08189050070191858,0.0669162377164249,0.1338324754328498,0.1520823584464202,0.1918577445016378,0.18015910154422088,0.19326158165652785,0,1468,0,602,67,0.0,0.6869443144595226,0.0,0.2817033224145999,0.0313523631258774,1081,1056,0.5058493214787084,0.4941506785212915,93.44875994384651,77.38699110903136,Média
Abel Figueiredo,PA,3935,4567,524,460,864,950,699,552,518,0.11473615064593826,0.10072257499452594,0.18918327129406612,0.2080140135756514,0.15305452156776878,0.12086708999343114,0.11342237792861835,0,900,10,3102,555,0.0,0.19706590759798556,0.0021896211955331727,0.6792204948543902,0.12152397635209108,2313,2254,0.5064593825268229,0.4935406174731771,86.16159404423036,73.28618349025619,Média
Abelardo Luz,SC,12450,13436,1213,1364,2567,2472,2234,1852,1734,0.09027984519202144,0.10151830902054183,0.1910538850848467,0.18398332837153916,0.16626972313188448,0.13783864245311103,0.1290562667460554,6,7715,241,4821,653,0.00044656147662994937,0.5742036320333432,0.017936885977969635,0.35881214647216436,0.048600774039892825,6738,6698,0.5014885382554332,0.49851146174456684,92.6615064007145,76.96315867817803,Média
Abre Campo,MG,10727,11552,959,1030,1884,2129,1810,1744,1996,0.08301592797783934,0.08916204986149584,0.16308864265927978,0.1842970914127424,0.15668282548476453,0.15096952908587258,0.17278393351800553,3,4265,3,5993,1288,0.0002596952908587258,0.3692001385041551,0.0002596952908587258,0.5187846260387812,0.11149584487534626,5837,5715,0.5052804709141274,0.4947195290858726,92.85837950138504,78.08838296398892,Média
Abreu e Lima,PE,70559,77263,6813,7342,13434,15166,13881,10825,9802,0.08817933551635324,0.09502607975356898,0.17387365233035218,0.19629059187450656,0.17965908649677076,0.1401058721509649,0.1268653818774834,105,22703,190,43336,10929,0.001358994602850006,0.2938405187476541,0.002459133090871439,0.560889429610551,0.14145192394807346,35640,41623,0.4612815966245163,0.5387184033754837,91.32314303094626,76.9578582245059,Média
Abreulândia,TO,1739,1979,216,168,316,399,337,278,265,0.10914603335017686,0.08489135927235977,0.1596766043456291,0.20161697827185449,0.17028802425467407,0.14047498736735725,0.13390601313794845,16,521,1,1177,264,0.00808489135927236,0.2632642748863062,0.0005053057099545225,0.5947448206164729,0.13340070742799393,1048,931,0.5295603840323395,0.47043961596766043,87.87266296109146,74.4290045477514,Média
Acaiaca,MG,2901,3227,260,257,497,559,550,510,594,0.08057018903005887,0.07964053300278896,0.1540130151843818,0.1732259064146266,0.17043693833281687,0.15804152463588472,0.18407189339944222,0,558,5,1880,784,0.0,0.17291602107220327,0.0015494267121165168,0.5825844437558103,0.24295010845986983,1541,1686,0.4775333126743105,0.5224666873256895,89.8977378370003,76.55283545088317,Média
Acajutiba,BA,8845,10838,1209,1065,1802,2027,1671,1410,1654,0.11155194685366304,0.09826536261302823,0.16626683890016608,0.18702712677615796,0.15417973795903303,0.13009780402288246,0.1526111828750692,1,1795,36,6903,2103,9.226794611551947e-05,0.16562096327735745,0.0033216460601587007,0.6369256320354308,0.19403949068093745,5184,5654,0.4783170326628529,0.521682967337147,81.61099833917696,69.95340468721164,Média
