ano,semestre,regiao,pop_alfabetizada,pop_nao_alfabetizada,populacao_total,taxa_alfabetizacao,variacao_taxa
2023,1,Centro-Oeste,2948517,164995,3113512,94.7007,
2023,2,Centro-Oeste,3044281,153453,3197734,95.2012,0.5005
2024,1,Centro-Oeste,3173499,168542,3342041,94.9569,-0.2443
2024,2,Centro-Oeste,3068541,165328,3233869,94.8876,-0.0693
2023,1,Nordeste,8994691,1499095,10493786,85.7145,
2023,2,Nordeste,9197096,1508908,10706004,85.906,0.1915
2024,1,Nordeste,9240238,1557575,10797813,85.5751,-0.3309
2024,2,Nordeste,9548976,1558175,11107151,85.9714,0.3963
2023,1,Norte,2741857,251139,2992996,91.6091,
2023,2,Norte,2727366,258852,2986218,91.3318,-0.2773
2024,1,Norte,3395262,287187,3682449,92.2012,0.8694
2024,2,Norte,3057688,262675,3320363,92.089,-0.1122
2023,1,Sudeste,16641352,690962,17332314,96.0134,
2023,2,Sudeste,17034266,685222,17719488,96.1329,0.1195
2024,1,Sudeste,16547164,653239,17200403,96.2022,0.0693
2024,2,Sudeste,16608267,695583,17303850,95.9802,-0.222
2023,1,Sul,5674979,207135,5882114,96.4786,
2023,2,Sul,6029262,214543,6243805,96.5639,0.0853
2024,1,Sul,5818872,205293,6024165,96.5922,0.0283
2024,2,Sul,6046588,215348,6261936,96.561,-0.0312
