ano,semestre,uf,nome_municipio,pop_nao_alfabetizada,populacao_total,taxa_analfabetismo,ranking
2023,1,PI,Sigefredo Pacheco,802,1445,55.5017,1
2023,1,AL,Estrela de Alagoas,1377,2542,54.1699,2
2023,1,AL,Branquinha,818,1563,52.3353,3
2023,1,PI,Guaribas,340,650,52.3077,4
2023,1,MA,Paulo Ramos,687,1338,51.3453,5
2023,1,MA,Cantanhede,843,1649,51.1219,6
2023,1,MG,São João das Missões,743,1498,49.5995,7
2023,1,MA,Marajá do Sena,288,588,48.9796,8
2023,1,CE,Graça,882,1840,47.9348,9
2023,1,PE,Itaíba,2017,4248,47.4812,10
2023,1,PI,Wall Ferraz,216,457,47.2648,11
2023,1,AL,Maravilha,524,1129,46.4128,12
2023,1,CE,Assaré,1808,3898,46.3828,13
2023,1,PI,Cocal dos Alves,605,1313,46.0777,14
2023,1,RN,Monte das Gameleiras,64,139,46.0432,15
2023,1,RN,Ielmo Marinho,591,1291,45.7785,16
2023,1,PI,Campo Largo do Piauí,542,1191,45.508,17
2023,1,MA,Joselândia,814,1815,44.8485,18
2023,1,RN,Lagoa d'Anta,370,826,44.7942,19
2023,1,PB,Riachão do Poço,334,748,44.6524,20
2023,2,PI,Santa Cruz dos Milagres,247,421,58.6698,1
2023,2,CE,Campos Sales,571,996,57.3293,2
2023,2,PI,Cabeceiras do Piauí,784,1519,51.6129,3
2023,2,PI,São João do Arraial,567,1137,49.8681,4
2023,2,RR,Alto Alegre,936,1936,48.3471,5
2023,2,CE,Antonina do Norte,666,1395,47.7419,6
2023,2,PI,Santo Antônio dos Milagres,111,233,47.6395,7
2023,2,PI,Boa Hora,362,760,47.6316,8
2023,2,BA,Pedro Alexandre,1673,3555,47.0605,9
2023,2,PB,Tavares,1522,3241,46.9608,10
2023,2,PB,Casserengue,516,1106,46.6546,11
2023,2,PI,Porto,319,709,44.9929,12
2023,2,RR,Uiramutã,225,505,44.5545,13
2023,2,PB,São Domingos,264,593,44.5194,14
2023,2,BA,Baixa Grande,664,1498,44.3258,15
2023,2,CE,Barroquinha,607,1377,44.0813,16
2023,2,PE,Chã Grande,803,1824,44.0241,17
2023,2,BA,Coronel João Sá,576,1312,43.9024,18
2023,2,MA,Governador Archer,349,804,43.408,19
2023,2,PI,São Julião,525,1214,43.2455,20
2024,1,PI,Caldeirão Grande do Piauí,241,454,53.0837,1
2024,1,PI,Cocal de Telha,184,356,51.6854,2
2024,1,PI,São Pedro do Piauí,416,846,49.1726,3
2024,1,MA,Marajá do Sena,359,744,48.2527,4
2024,1,AL,Craíbas,2398,4980,48.1526,5
2024,1,BA,Antônio Cardoso,437,911,47.9693,6
2024,1,SE,Poço Redondo,326,688,47.3837,7
2024,1,PA,Anajás,566,1219,46.4315,8
2024,1,PB,Caiçara,106,229,46.2882,9
2024,1,PB,Mato Grosso,246,540,45.5556,10
2024,1,PB,Jericó,362,797,45.4203,11
2024,1,BA,Araci,3394,7485,45.344,12
2024,1,SE,Nossa Senhora de Lourdes,251,564,44.5035,13
2024,1,PI,Nossa Senhora dos Remédios,591,1362,43.3921,14
2024,1,PI,Floresta do Piauí,164,378,43.3862,15
2024,1,AL,Joaquim Gomes,902,2086,43.2407,16
2024,1,PE,Salgadinho,695,1608,43.2214,17
2024,1,AL,Dois Riachos,680,1574,43.202,18
2024,1,PI,Jacobina do Piauí,285,665,42.8571,19
2024,1,BA,Rafael Jambeiro,539,1259,42.8118,20
2024,2,BA,Pedro Alexandre,789,1480,53.3108,1
2024,2,PE,São Benedito do Sul,884,1675,52.7761,2
2024,2,PI,Aroeiras do Itaim,244,481,50.7277,3
2024,2,PI,Campo Alegre do Fidalgo,172,342,50.2924,4
2024,2,PE,Panelas,1238,2486,49.7989,5
2024,2,CE,Mauriti,1327,2717,48.8406,6
2024,2,PI,Jaicós,1134,2408,47.093,7
2024,2,PE,São João,1333,2899,45.9814,8
2024,2,MG,Mata Verde,501,1100,45.5455,9
2024,2,PB,Cacimba de Dentro,1048,2312,45.3287,10
2024,2,PI,Barro Duro,254,564,45.0355,11
2024,2,BA,Lamarão,188,421,44.6556,12
2024,2,AL,Roteiro,240,539,44.5269,13
2024,2,PI,Patos do Piauí,900,2023,44.4884,14
2024,2,RR,Alto Alegre,1224,2754,44.4444,15
2024,2,PE,Vertente do Lério,638,1436,44.429,16
2024,2,PE,Cortês,250,566,44.1696,17
2024,2,PI,Paquetá,337,770,43.7662,18
2024,2,PB,Gurinhém,915,2127,43.0183,19
2024,2,PI,Massapê do Piauí,379,895,42.3464,20
