ano,semestre,regiao,taxa_masc,taxa_fem,diferenca_genero
2023,1,Centro-Oeste,94.7107,94.6874,0.0233
2023,1,Nordeste,83.9623,87.4246,-3.4623
2023,1,Norte,90.7,92.4633,-1.7633
2023,1,Sudeste,95.9213,96.0923,-0.171
2023,1,Sul,96.5805,96.3874,0.1931
2023,2,Centro-Oeste,94.6429,95.6551,-1.0122
2023,2,Nordeste,83.8717,87.7132,-3.8415
2023,2,Norte,89.8335,92.606,-2.7725
2023,2,Sudeste,96.3971,95.8875,0.5096
2023,2,Sul,96.7292,96.3955,0.3337
2024,1,Centro-Oeste,94.4888,95.3479,-0.8591
2024,1,Nordeste,83.7741,87.2056,-3.4315
2024,1,Norte,91.7396,92.6534,-0.9138
2024,1,Sudeste,96.3952,96.0105,0.3847
2024,1,Sul,96.7149,96.4704,0.2445
2024,2,Centro-Oeste,94.8301,94.9404,-0.1103
2024,2,Nordeste,84.1958,87.5206,-3.3248
2024,2,Norte,91.3328,92.9713,-1.6385
2024,2,Sudeste,95.8934,96.0542,-0.1608
2024,2,Sul,96.7976,96.3656,0.432
