ano,semestre,uf,pop_alfabetizada,pop_nao_alfabetizada,populacao_total,taxa_analfabetismo,variacao_taxa,indice_vulnerabilidade
2023,1,AL,431558,96872,528430,18.332,,18.332
2023,1,PI,512716,110921,623637,17.7861,,17.7861
2023,1,PB,671250,123134,794384,15.5006,,15.5006
2023,1,MA,1042535,188241,1230776,15.2945,,15.2945
2023,1,CE,1394663,246531,1641194,15.0214,,15.0214
2023,1,SE,377354,61709,439063,14.0547,,14.0547
2023,1,RN,572677,92546,665223,13.912,,13.912
2023,1,PE,1486310,225699,1712009,13.1833,,13.1833
2023,1,AC,121266,17753,139019,12.7702,,12.7702
2023,1,BA,2505628,353442,2859070,12.3621,,12.3621
2023,1,TO,237973,26172,264145,9.9082,,9.9082
2023,1,PA,1222125,130945,1353070,9.6776,,9.6776
2023,1,RO,293723,20846,314569,6.6268,,6.6268
2023,1,AP,68320,4681,73001,6.4122,,6.4122
2023,1,RR,106091,6929,113020,6.1308,,6.1308
2023,1,AM,692359,43813,736172,5.9515,,5.9515
2023,1,ES,751784,47079,798863,5.8933,,5.8933
2023,1,GO,1316006,82231,1398237,5.881,,5.881
2023,1,MG,4000157,239721,4239878,5.654,,5.654
2023,1,MT,652660,37921,690581,5.4912,,5.4912
2023,1,MS,462679,25767,488446,5.2753,,5.2753
2023,1,PR,2211384,97242,2308626,4.2121,,4.2121
2023,1,RJ,3136214,115775,3251989,3.5601,,3.5601
2023,1,DF,517172,19076,536248,3.5573,,3.5573
2023,1,RS,1951068,65179,2016247,3.2327,,3.2327
2023,1,SP,8753197,288387,9041584,3.1896,,3.1896
2023,1,SC,1512527,44714,1557241,2.8714,,2.8714
2023,2,PI,608605,112448,721053,15.595,-2.1911,26.5505
2023,2,CE,1586977,239361,1826338,13.1061,-1.9153,22.6826
2023,2,AL,517883,110112,627995,17.5339,-0.7981,21.5244
2023,2,TO,291889,26479,318368,8.3171,-1.5911,16.2726
2023,2,AC,132504,18703,151207,12.3691,-0.4011,14.3746
2023,2,SE,424618,69422,494040,14.0519,-0.0028,14.0659
2023,2,BA,2412328,335125,2747453,12.1977,-0.1644,13.0197
2023,2,MA,1010562,193423,1203985,16.0652,0.7707,12.2117
2023,2,PE,1548090,240556,1788646,13.4491,0.2658,12.1201
2023,2,RO,317934,18625,336559,5.5339,-1.0929,10.9984
2023,2,PA,1258775,130260,1389035,9.3777,-0.2999,10.8772
2023,2,RN,513035,90508,603543,14.9961,1.0841,9.5756
2023,2,PB,574998,117953,692951,17.0218,1.5212,9.4158
2023,2,GO,1299505,71105,1370610,5.1878,-0.6932,8.6538
2023,2,DF,445958,10961,456919,2.3989,-1.1584,8.1909
2023,2,MS,606444,29966,636410,4.7086,-0.5667,7.5421
