id_municipio,nome_municipio,uf,regiao
3731,Brasília,DF,Centro-Oeste
3278,Abadia de Goiás,GO,Centro-Oeste
1729,Abadiânia,GO,Centro-Oeste
3473,Acreúna,GO,Centro-Oeste
3742,Adelândia,GO,Centro-Oeste
1881,Alexânia,GO,Centro-Oeste
3271,Aloândia,GO,Centro-Oeste
1724,Alto Horizonte,GO,Centro-Oeste
64,Alto Paraíso de Goiás,GO,Centro-Oeste
3911,Alvorada do Norte,GO,Centro-Oeste
4333,Amaralina,GO,Centro-Oeste
7,Americano do Brasil,GO,Centro-Oeste
4832,Amorinópolis,GO,Centro-Oeste
2322,Anhanguera,GO,Centro-Oeste
4859,Anicuns,GO,Centro-Oeste
977,Anápolis,GO,Centro-Oeste
5297,Aparecida de Goiânia,GO,Centro-Oeste
1841,Aparecida do Rio Doce,GO,Centro-Oeste
5541,Aporé,GO,Centro-Oeste
3544,Aragarças,GO,Centro-Oeste
2339,Aragoiânia,GO,Centro-Oeste
2392,Araguapaz,GO,Centro-Oeste
917,Araçu,GO,Centro-Oeste
1313,Arenópolis,GO,Centro-Oeste
3837,Aruanã,GO,Centro-Oeste
547,Aurilândia,GO,Centro-Oeste
3438,Avelinópolis,GO,Centro-Oeste
1293,Baliza,GO,Centro-Oeste
4823,Barro Alto,GO,Centro-Oeste
2961,Bela Vista de Goiás,GO,Centro-Oeste
440,Bom Jardim de Goiás,GO,Centro-Oeste
3604,Bom Jesus de Goiás,GO,Centro-Oeste
2008,Bonfinópolis,GO,Centro-Oeste
1684,Bonópolis,GO,Centro-Oeste
2825,Brazabrantes,GO,Centro-Oeste
2726,Britânia,GO,Centro-Oeste
5536,Buriti Alegre,GO,Centro-Oeste
1600,Buriti de Goiás,GO,Centro-Oeste
1208,Buritinópolis,GO,Centro-Oeste
5037,Cabeceiras,GO,Centro-Oeste
5525,Cachoeira Alta,GO,Centro-Oeste
3070,Cachoeira Dourada,GO,Centro-Oeste
242,Cachoeira de Goiás,GO,Centro-Oeste
3131,Caiapônia,GO,Centro-Oeste
3998,Caldas Novas,GO,Centro-Oeste
5267,Caldazinha,GO,Centro-Oeste
1849,Campestre de Goiás,GO,Centro-Oeste
5011,Campinaçu,GO,Centro-Oeste
1125,Campinorte,GO,Centro-Oeste
3214,Campo Alegre de Goiás,GO,Centro-Oeste
583,Campo Limpo de Goiás,GO,Centro-Oeste
1368,Campos Belos,GO,Centro-Oeste
1148,Campos Verdes,GO,Centro-Oeste
2678,Carmo do Rio Verde,GO,Centro-Oeste
546,Castelândia,GO,Centro-Oeste
87,Catalão,GO,Centro-Oeste
3156,Caturaí,GO,Centro-Oeste
3101,Cavalcante,GO,Centro-Oeste
2801,Caçu,GO,Centro-Oeste
655,Ceres,GO,Centro-Oeste
4148,Cezarina,GO,Centro-Oeste
2802,Chapadão do Céu,GO,Centro-Oeste
553,Cidade Ocidental,GO,Centro-Oeste
5326,Cocalzinho de Goiás,GO,Centro-Oeste
2805,Colinas do Sul,GO,Centro-Oeste
453,Corumbaíba,GO,Centro-Oeste
399,Corumbá de Goiás,GO,Centro-Oeste
769,Cristalina,GO,Centro-Oeste
524,Cristianópolis,GO,Centro-Oeste
4471,Crixás,GO,Centro-Oeste
4839,Cromínia,GO,Centro-Oeste
4016,Cumari,GO,Centro-Oeste
630,Córrego do Ouro,GO,Centro-Oeste
2572,Damianópolis,GO,Centro-Oeste
2573,Damolândia,GO,Centro-Oeste
5174,Davinópolis,GO,Centro-Oeste
3721,Diorama,GO,Centro-Oeste
2955,Divinópolis de Goiás,GO,Centro-Oeste
4109,Doverlândia,GO,Centro-Oeste
1589,Edealina,GO,Centro-Oeste
3105,Edéia,GO,Centro-Oeste
4476,Estrela do Norte,GO,Centro-Oeste
1667,Faina,GO,Centro-Oeste
4430,Fazenda Nova,GO,Centro-Oeste
